question,query,masked,true_ans
Write a SQL statement that displays all the information about all salespeople.,SELECT * FROM salesman;,Write a SQL statement that [MASK] all the information about all [MASK],"[(5001, 'James Hoog', 'New York', 0.15), (5002, 'Nail Knite', 'Paris', 0.13), (5005, 'Pit Alex', 'London', 0.11), (5006, 'Mc Lyon', 'Paris', 0.14), (5007, 'Paul Adam', 'Rome', 0.13), (5003, 'Lauson Hen', 'San Jose', 0.12), (5008, 'Joseph Ferguson', 'California', 0.11), (5009, 'Cindy Roman', 'Paris', 0.13), (5010, 'James Conway', 'Moscow', 0.11), (5011, 'John Lutz', 'Rome', 0.12), (5012, 'Nicole Hardy', 'Rome', 0.1), (5013, 'Nichole Rasmussen', 'Paris', 0.12), (5014, 'Jesse Wilson DDS', 'London', 0.13), (5015, 'Debra Grant', 'Rome', 0.12), (5016, 'Michael Green', 'Berlin', 0.12), (5017, 'Adrienne Moore', 'Rome', 0.11), (5018, 'Tommy Moore', 'Berlin', 0.13), (5019, 'Miss Alexandra Hess', 'Moscow', 0.13), (5020, 'Drew Skinner', 'New York', 0.15), (5021, 'Edward Lopez', 'Rome', 0.11), (5022, 'Benjamin Cooley', 'Rome', 0.11), (5023, 'William Nixon', 'Paris', 0.1), (5024, 'Brandon Warner', 'California', 0.14), (5025, 'Timothy Ryan', 'London', 0.12), (5026, 'Matthew Schultz', 'New York', 0.14), (5027, 'Angela Hampton', 'Rome', 0.13), (5028, 'Kelly Moore', 'Moscow', 0.13), (5029, 'Christine Wood DDS', 'California', 0.15), (5030, 'Tonya Whitaker', 'Moscow', 0.11), (5031, 'Rachel Diaz', 'Berlin', 0.1), (5032, 'Sean Torres', 'Berlin', 0.11), (5033, 'Jack Waters', 'Paris', 0.15), (5034, 'Kelly Abbott', 'Berlin', 0.14), (5035, 'Jennifer Hernandez', 'London', 0.13), (5036, 'Hailey Ramirez', 'London', 0.13), (5037, 'Elizabeth Estes', 'Moscow', 0.11), (5038, 'Patrick Delgado', 'San Jose', 0.11), (5039, 'Michelle Williams', 'San Jose', 0.11), (5040, 'Katherine Burch', 'Berlin', 0.11), (5041, 'Justin Carter', 'New York', 0.15), (5042, 'Jonathan Warren MD', 'California', 0.11), (5043, 'Jonathan Hansen', 'Berlin', 0.12), (5044, 'Timothy Hunter', 'Rome', 0.12), (5045, 'Julie Maxwell', 'Rome', 0.13), (5046, 'Glenn Daugherty', 'California', 0.11), (5047, 'Kimberly Smith', 'London', 0.11), (5048, 'Matthew Walter', 'London', 0.13), (5049, 'Warren Lee', 'California', 0.1), (5050, 'Carrie Hall', 'Berlin', 0.12), (5051, 'Wayne Jenkins', 'Berlin', 0.12), (5052, 'Jeremy Stevens', 'San Jose', 0.14), (5053, 'Krista Murphy', 'Moscow', 0.15), (5054, 'Christina Garza', 'California', 0.13), (5055, 'Brian White', 'Rome', 0.13), (5056, 'Corey Jefferson', 'Berlin', 0.12), (5057, 'Allen Fitzgerald', 'Moscow', 0.1)]"
Write a SQL statement to display specific columns such as names and commissions for all salespeople.,"SELECT name, commission FROM salesman;",Write a SQL statement to [MASK] specific columns such as [MASK] and [MASK] for all [MASK],"[('James Hoog', 0.15), ('Nail Knite', 0.13), ('Pit Alex', 0.11), ('Mc Lyon', 0.14), ('Paul Adam', 0.13), ('Lauson Hen', 0.12), ('Joseph Ferguson', 0.11), ('Cindy Roman', 0.13), ('James Conway', 0.11), ('John Lutz', 0.12), ('Nicole Hardy', 0.1), ('Nichole Rasmussen', 0.12), ('Jesse Wilson DDS', 0.13), ('Debra Grant', 0.12), ('Michael Green', 0.12), ('Adrienne Moore', 0.11), ('Tommy Moore', 0.13), ('Miss Alexandra Hess', 0.13), ('Drew Skinner', 0.15), ('Edward Lopez', 0.11), ('Benjamin Cooley', 0.11), ('William Nixon', 0.1), ('Brandon Warner', 0.14), ('Timothy Ryan', 0.12), ('Matthew Schultz', 0.14), ('Angela Hampton', 0.13), ('Kelly Moore', 0.13), ('Christine Wood DDS', 0.15), ('Tonya Whitaker', 0.11), ('Rachel Diaz', 0.1), ('Sean Torres', 0.11), ('Jack Waters', 0.15), ('Kelly Abbott', 0.14), ('Jennifer Hernandez', 0.13), ('Hailey Ramirez', 0.13), ('Elizabeth Estes', 0.11), ('Patrick Delgado', 0.11), ('Michelle Williams', 0.11), ('Katherine Burch', 0.11), ('Justin Carter', 0.15), ('Jonathan Warren MD', 0.11), ('Jonathan Hansen', 0.12), ('Timothy Hunter', 0.12), ('Julie Maxwell', 0.13), ('Glenn Daugherty', 0.11), ('Kimberly Smith', 0.11), ('Matthew Walter', 0.13), ('Warren Lee', 0.1), ('Carrie Hall', 0.12), ('Wayne Jenkins', 0.12), ('Jeremy Stevens', 0.14), ('Krista Murphy', 0.15), ('Christina Garza', 0.13), ('Brian White', 0.13), ('Corey Jefferson', 0.12), ('Allen Fitzgerald', 0.1)]"
"From the following table, write a SQL query to locate salespeople who live in the city of 'Paris'. Return salesperson's name, city.","SELECT name, city FROM salesman WHERE city = 'Paris';","From the following table, write a SQL query to locate [MASK] who live in the [MASK] of 'Paris'. Return [MASK] [MASK] [MASK]","[('Nail Knite', 'Paris'), ('Mc Lyon', 'Paris'), ('Cindy Roman', 'Paris'), ('Nichole Rasmussen', 'Paris'), ('William Nixon', 'Paris'), ('Jack Waters', 'Paris')]"
"From the following table, write a SQL query to find orders that are delivered by a salesperson with ID. 5001. Return ord_no, ord_date, purch_amt.","SELECT ord_no, ord_date, purch_amt FROM orders WHERE salesman_id = 5001;","From the following table, write a SQL query to find [MASK] that are delivered by a [MASK] with ID. 5001. Return ord_no, [MASK] [MASK]","[(70002, '2012-10-05', 65.26), (70005, '2012-07-27', 2400.6), (70008, '2012-09-10', 5760), (70013, '2012-04-25', 3045.6), (70062, '2013-07-27', 3753.3)]"
"From the following table, write a SQL query to locate the details of customers with grade values above 100. Return customer_id, cust_name, city, grade, and salesman_id.",SELECT * FROM customer WHERE grade > 100;,"From the following table, write a SQL query to locate the details of [MASK] with [MASK] values above 100. Return [MASK] [MASK] [MASK] [MASK] and [MASK]","[(3007, 'Brad Davis', 'New York', 200, 5001), (3005, 'Graham Zusi', 'California', 200, 5002), (3008, 'Julian Green', 'London', 300, 5002), (3004, 'Fabian Johnson', 'Paris', 300, 5006), (3003, 'Jozy Altidor', 'Moscow', 200, 5007), (3010, 'Amy Allen', 'New York', 200, 5010), (3011, 'Leslie Jensen', 'Paris', 106, 5018), (3012, 'Mary Jacobs', 'London', 200, 5052), (3013, 'Stephen Hurley', 'London', 194, 5041), (3015, 'William Dawson', 'Berlin', 200, 5046), (3016, 'Terry Perez', 'Moscow', 234, 5051), (3017, 'Gerald Walker', 'Berlin', 200, 5057), (3018, 'Angela Alvarez', 'New York', 200, 5012), (3021, 'Wayne White', 'California', 294, 5045), (3024, 'Ricky Carr', 'California', 200, 5045), (3025, 'Donald Wilson', 'California', 300, 5042), (3026, 'Devin Powers', 'San Jose', 187, 5019), (3027, 'Christy Quinn', 'Rome', 200, 5017), (3028, 'Dr. Tracy Pitts', 'London', 155, 5005), (3029, 'Kathleen Holmes', 'New York', 123, 5043), (3030, 'Frank Hines', 'San Jose', 236, 5005), (3031, 'Bryan Tanner', 'California', 134, 5012), (3035, 'Christopher Marsh', 'London', 216, 5026), (3037, 'Chris Thomas', 'Berlin', 200, 5049), (3038, 'Shelby Newman', 'San Jose', 178, 5009), (3039, 'Sandra Young', 'Paris', 200, 5035), (3042, 'Steven Williams', 'Berlin', 300, 5023), (3044, 'Brianna Schmidt', 'Rome', 200, 5020), (3047, 'Sandy Burgess', 'Moscow', 300, 5010), (3048, 'Steven Scott', 'California', 300, 5008), (3049, 'Cody Fields', 'Paris', 200, 5038), (3050, 'Tracey Smith', 'Moscow', 200, 5018), (3051, 'Stephanie Carroll', 'San Jose', 200, 5013), (3052, 'Dr. John Evans', 'London', 200, 5031), (3054, 'Holly Thompson', 'Paris', 200, 5026), (3055, 'Sierra Perry', 'London', 200, 5007), (3056, 'Julia Shaffer', 'London', 283, 5032), (3058, 'Larry Martin', 'Paris', 300, 5056), (3059, 'Hannah Garcia', 'New York', 157, 5021)]"
"From the following table, write a SQL query to find the details of those salespeople whose commissions range from 0.10 to0.12. Return salesman_id, name, city, and commission.","SELECT salesman_id, name, city, commission FROM salesman WHERE (commission > 0.10 AND commission < 0.12);","From the following table, write a SQL query to find the details of those [MASK] whose [MASK] range from 0.10 to0.12. Return [MASK] [MASK] [MASK] and [MASK]","[(5005, 'Pit Alex', 'London', 0.11), (5008, 'Joseph Ferguson', 'California', 0.11), (5010, 'James Conway', 'Moscow', 0.11), (5017, 'Adrienne Moore', 'Rome', 0.11), (5021, 'Edward Lopez', 'Rome', 0.11), (5022, 'Benjamin Cooley', 'Rome', 0.11), (5030, 'Tonya Whitaker', 'Moscow', 0.11), (5032, 'Sean Torres', 'Berlin', 0.11), (5037, 'Elizabeth Estes', 'Moscow', 0.11), (5038, 'Patrick Delgado', 'San Jose', 0.11), (5039, 'Michelle Williams', 'San Jose', 0.11), (5040, 'Katherine Burch', 'Berlin', 0.11), (5042, 'Jonathan Warren MD', 'California', 0.11), (5046, 'Glenn Daugherty', 'California', 0.11), (5047, 'Kimberly Smith', 'London', 0.11)]"
"From the following table, write a SQL query to find the details of those salespeople who come from the 'Paris' City or 'Rome' City. Return salesman_id, name, city, commission.",SELECT * FROM salesman WHERE city = 'Paris' OR city = 'Rome';,"From the following table, write a SQL query to find the details of those [MASK] who come from the 'Paris' [MASK] or 'Rome' [MASK] Return [MASK] [MASK] [MASK] [MASK]","[(5002, 'Nail Knite', 'Paris', 0.13), (5006, 'Mc Lyon', 'Paris', 0.14), (5007, 'Paul Adam', 'Rome', 0.13), (5009, 'Cindy Roman', 'Paris', 0.13), (5011, 'John Lutz', 'Rome', 0.12), (5012, 'Nicole Hardy', 'Rome', 0.1), (5013, 'Nichole Rasmussen', 'Paris', 0.12), (5015, 'Debra Grant', 'Rome', 0.12), (5017, 'Adrienne Moore', 'Rome', 0.11), (5021, 'Edward Lopez', 'Rome', 0.11), (5022, 'Benjamin Cooley', 'Rome', 0.11), (5023, 'William Nixon', 'Paris', 0.1), (5027, 'Angela Hampton', 'Rome', 0.13), (5033, 'Jack Waters', 'Paris', 0.15), (5044, 'Timothy Hunter', 'Rome', 0.12), (5045, 'Julie Maxwell', 'Rome', 0.13), (5055, 'Brian White', 'Rome', 0.13)]"
"From the following table, write a SQL query to select orders between 500 and 4000 (begin and end values are included). Exclude orders amount 948.50 and 1983.43. Return ord_no, purch_amt, ord_date, customer_id, and salesman_id.","SELECT * FROM orders WHERE (purch_amt BETWEEN 500 AND 4000) AND NOT purch_amt IN (948.50, 1983.43);","From the following table, write a SQL query to select [MASK] between 500 and 4000 (begin and end values are included). Exclude [MASK] amount 948.50 and 1983.43. Return ord_no, [MASK] [MASK] [MASK] and [MASK]","[(70005, 2400.6, '2012-07-27', 3007, 5001), (70003, 2480.4, '2012-10-10', 3009, 5003), (70013, 3045.6, '2012-04-25', 3002, 5001), (70014, 2608.23, '2012-02-23', 3033, 5015), (70016, 2051.01, '2012-12-25', 3037, 5033), (70018, 1812.19, '2012-09-09', 3009, 5003), (70019, 2741.1, '2012-10-27', 3055, 5035), (70020, 948.26, '2012-02-10', 3059, 5011), (70021, 3989.67, '2013-01-25', 3055, 5047), (70023, 1887.12, '2012-11-22', 3023, 5013), (70027, 1895.55, '2012-06-25', 3003, 5029), (70028, 2085.39, '2013-03-29', 3035, 5013), (70029, 1610.05, '2013-04-03', 3058, 5002), (70031, 1663.5, '2012-05-03', 3036, 5008), (70032, 569.21, '2013-08-27', 3005, 5045), (70033, 3761.73, '2013-08-21', 3004, 5025), (70034, 1160.2, '2013-07-29', 3037, 5036), (70036, 3212.12, '2012-07-09', 3049, 5057), (70037, 3824.93, '2012-12-01', 3020, 5030), (70038, 2771.11, '2012-08-12', 3008, 5015), (70039, 3991.63, '2012-10-05', 3026, 5005), (70041, 1173.26, '2012-08-12', 3050, 5008), (70042, 2434.26, '2013-04-07', 3009, 5010), (70043, 3716.87, '2012-11-01', 3037, 5009), (70044, 776.19, '2013-05-12', 3014, 5052), (70046, 612.7, '2013-06-09', 3040, 5040), (70047, 1629.92, '2012-01-07', 3046, 5032), (70049, 2608.07, '2013-05-30', 3005, 5033), (70051, 2213.66, '2013-04-26', 3054, 5030), (70052, 2984.3, '2013-03-10', 3055, 5029), (70053, 3257.51, '2013-05-29', 3057, 5052), (70054, 3633.23, '2012-07-13', 3043, 5046), (70055, 1204.16, '2013-08-08', 3045, 5054), (70056, 1107.02, '2012-03-21', 3030, 5019), (70058, 1731.25, '2013-09-22', 3003, 5042), (70059, 3144.45, '2012-08-22', 3004, 5022), (70060, 1023.23, '2013-04-15', 3042, 5026), (70062, 3753.3, '2013-07-27', 3046, 5001), (70063, 1313.05, '2013-02-23', 3019, 5010)]"
"From the following table, write a SQL query to retrieve the details of the salespeople whose names begin with any letter between 'A' and 'L' (not inclusive). Return salesman_id, name, city, commission.",SELECT * FROM salesman WHERE name BETWEEN 'A' AND 'L';,"From the following table, write a SQL query to retrieve the details of the [MASK] whose [MASK] begin with any letter between 'A' and 'L' (not inclusive). Return [MASK] [MASK] [MASK] [MASK]","[(5001, 'James Hoog', 'New York', 0.15), (5008, 'Joseph Ferguson', 'California', 0.11), (5009, 'Cindy Roman', 'Paris', 0.13), (5010, 'James Conway', 'Moscow', 0.11), (5011, 'John Lutz', 'Rome', 0.12), (5014, 'Jesse Wilson DDS', 'London', 0.13), (5015, 'Debra Grant', 'Rome', 0.12), (5017, 'Adrienne Moore', 'Rome', 0.11), (5020, 'Drew Skinner', 'New York', 0.15), (5021, 'Edward Lopez', 'Rome', 0.11), (5022, 'Benjamin Cooley', 'Rome', 0.11), (5024, 'Brandon Warner', 'California', 0.14), (5027, 'Angela Hampton', 'Rome', 0.13), (5028, 'Kelly Moore', 'Moscow', 0.13), (5029, 'Christine Wood DDS', 'California', 0.15), (5033, 'Jack Waters', 'Paris', 0.15), (5034, 'Kelly Abbott', 'Berlin', 0.14), (5035, 'Jennifer Hernandez', 'London', 0.13), (5036, 'Hailey Ramirez', 'London', 0.13), (5037, 'Elizabeth Estes', 'Moscow', 0.11), (5040, 'Katherine Burch', 'Berlin', 0.11), (5041, 'Justin Carter', 'New York', 0.15), (5042, 'Jonathan Warren MD', 'California', 0.11), (5043, 'Jonathan Hansen', 'Berlin', 0.12), (5045, 'Julie Maxwell', 'Rome', 0.13), (5046, 'Glenn Daugherty', 'California', 0.11), (5047, 'Kimberly Smith', 'London', 0.11), (5050, 'Carrie Hall', 'Berlin', 0.12), (5052, 'Jeremy Stevens', 'San Jose', 0.14), (5053, 'Krista Murphy', 'Moscow', 0.15), (5054, 'Christina Garza', 'California', 0.13), (5055, 'Brian White', 'Rome', 0.13), (5056, 'Corey Jefferson', 'Berlin', 0.12), (5057, 'Allen Fitzgerald', 'Moscow', 0.1)]"
"From the following table, write a SQL query to calculate total purchase amount of all orders. Return total purchase amount.",SELECT SUM(purch_amt) FROM orders;,"From the following table, write a SQL query to calculate total [MASK] amount of all [MASK] Return total [MASK] amount.","[(154290.5,)]"
