question,query,masked,true_ans
Write a SQL statement that displays all the information about all salespeople.,SELECT * FROM salesman;,Write a SQL statement that [MASK] all the information about all [MASK],"[(5001, 'James Hoog', 'New York', 0.15), (5002, 'Nail Knite', 'Paris', 0.13), (5005, 'Pit Alex', 'London', 0.11), (5006, 'Mc Lyon', 'Paris', 0.14), (5007, 'Paul Adam', 'Rome', 0.13), (5003, 'Lauson Hen', 'San Jose', 0.12)]"
Write a SQL statement to display specific columns such as names and commissions for all salespeople.,"SELECT name, commission FROM salesman;",Write a SQL statement to [MASK] specific columns such as [MASK] and [MASK] for all [MASK],"[('James Hoog', 0.15), ('Nail Knite', 0.13), ('Pit Alex', 0.11), ('Mc Lyon', 0.14), ('Paul Adam', 0.13), ('Lauson Hen', 0.12)]"
"From the following table, write a SQL query to locate salespeople who live in the city of 'Paris'. Return salesperson's name, city.","SELECT name, city FROM salesman WHERE city = 'Paris';","From the following table, write a SQL query to locate [MASK] who live in the [MASK] of 'Paris'. Return [MASK] [MASK] [MASK]","[('Nail Knite', 'Paris'), ('Mc Lyon', 'Paris')]"
"From the following table, write a SQL query to find orders that are delivered by a salesperson with ID. 5001. Return ord_no, ord_date, purch_amt.","SELECT ord_no, ord_date, purch_amt FROM orders WHERE salesman_id = 5001;","From the following table, write a SQL query to find [MASK] that are delivered by a [MASK] with ID. 5001. Return ord_no, [MASK] [MASK]","[(70002, '2012-10-05', 65.26), (70005, '2012-07-27', 2400.6), (70008, '2012-09-10', 5760), (70013, '2012-04-25', 3045.6)]"
"From the following table, write a SQL query to locate the details of customers with grade values above 100. Return customer_id, cust_name, city, grade, and salesman_id.",SELECT * FROM customer WHERE grade > 100;,"From the following table, write a SQL query to locate the details of [MASK] with [MASK] values above 100. Return [MASK] [MASK] [MASK] [MASK] and [MASK]","[(3007, 'Brad Davis', 'New York', 200, 5001), (3005, 'Graham Zusi', 'California', 200, 5002), (3008, 'Julian Green', 'London', 300, 5002), (3004, 'Fabian Johnson', 'Paris', 300, 5006), (3003, 'Jozy Altidor', 'Moscow', 200, 5007)]"
"From the following table, write a SQL query to find the details of those salespeople whose commissions range from 0.10 to0.12. Return salesman_id, name, city, and commission.","SELECT salesman_id, name, city, commission FROM salesman WHERE (commission > 0.10 AND commission < 0.12);","From the following table, write a SQL query to find the details of those [MASK] whose [MASK] range from 0.10 to0.12. Return [MASK] [MASK] [MASK] and [MASK]","[(5005, 'Pit Alex', 'London', 0.11)]"
"From the following table, write a SQL query to find the details of those salespeople who come from the 'Paris' City or 'Rome' City. Return salesman_id, name, city, commission.",SELECT * FROM salesman WHERE city = 'Paris' OR city = 'Rome';,"From the following table, write a SQL query to find the details of those [MASK] who come from the 'Paris' [MASK] or 'Rome' [MASK] Return [MASK] [MASK] [MASK] [MASK]","[(5002, 'Nail Knite', 'Paris', 0.13), (5006, 'Mc Lyon', 'Paris', 0.14), (5007, 'Paul Adam', 'Rome', 0.13)]"
"From the following table, write a SQL query to select orders between 500 and 4000 (begin and end values are included). Exclude orders amount 948.50 and 1983.43. Return ord_no, purch_amt, ord_date, customer_id, and salesman_id.","SELECT * FROM orders WHERE (purch_amt BETWEEN 500 AND 4000) AND NOT purch_amt IN (948.50, 1983.43);","From the following table, write a SQL query to select [MASK] between 500 and 4000 (begin and end values are included). Exclude [MASK] amount 948.50 and 1983.43. Return ord_no, [MASK] [MASK] [MASK] and [MASK]","[(70005, 2400.6, '2012-07-27', 3007, 5001), (70003, 2480.4, '2012-10-10', 3009, 5003), (70013, 3045.6, '2012-04-25', 3002, 5001)]"
"From the following table, write a SQL query to retrieve the details of the salespeople whose names begin with any letter between 'A' and 'L' (not inclusive). Return salesman_id, name, city, commission.",SELECT * FROM salesman WHERE name BETWEEN 'A' AND 'L';,"From the following table, write a SQL query to retrieve the details of the [MASK] whose [MASK] begin with any letter between 'A' and 'L' (not inclusive). Return [MASK] [MASK] [MASK] [MASK]","[(5001, 'James Hoog', 'New York', 0.15)]"
"From the following table, write a SQL query to calculate total purchase amount of all orders. Return total purchase amount.",SELECT SUM(purch_amt) FROM orders;,"From the following table, write a SQL query to calculate total [MASK] amount of all [MASK] Return total [MASK] amount.","[(17541.18,)]"
